"Site Code","Site Name","Site Type","Site Category","Region","Status","Address","GIS Migrated","Floorplans","Location","Comments","Restricted","Freehold/Leasehold","Power Resilience"
"XBL (BTLMTX)","Bristol","MTX",,"SOUTH WEST","Normal","Unit 1145, Aztec West
Almondsbury 
Bristol
BS32 4TF","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Bristol_Floorplans?csf=1&web=1&e=v3OPot","https://www.google.co.uk/maps?q=51.541918,-2.580478&num=1&t=h&sll=51.542046,-2.580797&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.542046,-2.580797&spn=0.004951,0.009624&z=17","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XCF (CDFMTX)","Cardiff","MTX","[""RA""]","WALES","Normal","Links Business Park. 
Fortran Road
Cardiff
CF3 0LT","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Cardiff_Floorplan.pdf?csf=1&web=1&e=rEAHsc","http://maps.google.co.uk/maps?q=51.529478,-3.08394&num=1&t=h&sll=51.529367,-3.082953&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.529365,-3.084991&spn=0.009905,0.02738&z=16""","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XCE (CSLMTX)","Carlisle","MTX","[""RA""]","NORTH WEST","Normal","Kings Drive
Kingmoor Park South
Carlisle
CA6 4RD","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Carlise_Floorplan.pdf?csf=1&web=1&e=GyYpAH","http://maps.google.co.uk/maps?q=54.918723,-2.965922&num=1&t=h&sll=54.921343,-2.966183&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=54.923541,-2.957554&spn=0.018299,0.038495&z=15","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XCY (CLYMTX)","Crawley","MTX","[""RA""]","SOUTH","Normal","Crawley Vector II
Newton Road
Manor Royal Estate 
Crawley, RH10 9TT","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Crawley_Floorplan.pdf?csf=1&web=1&e=dz3uxd","http://maps.google.co.uk/maps?q=51.131187,-0.174065&num=1&t=h&sll=51.116697,-0.1333&sspn=0.083612,0.150932&hl=en&ie=UTF8&ll=51.134689,-0.157843&spn=0.019981,0.038495&z=15","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XCN (CYNMTX)","Croydon","MTX","[""RA""]","LONDON","Normal","Unit 9, Peterwood Park
Peterwood Way
Croydon
CR0 4UQ","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Croydon_Floorplan.pdf?csf=1&web=1&e=nrCcUf","http://maps.google.co.uk/maps?f=q&source=s_q&hl=en&geocode=&q=CR0+4UQ&sll=54.923541,-2.957554&sspn=0.018299,0.038495&g=54.918723,-2.965922&ie=UTF8&hq=&hnear=Croydon,+Surrey+CR0+4UQ,+United+Kingdom&ll=51.375909,-0.124438&spn=0.004969,0.009624&t=h&z=17","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XER (ESHMTX)","Esher","MTX",,"LONDON","Normal","30 Avro Way
West Park
Weybridge
KT13 0YU","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Esher_Floorplan.pdf?csf=1&web=1&e=Mbf1gp","http://maps.google.co.uk/maps?q=51.347029,-0.478114&num=1&t=h&sll=51.350021,-0.474576&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.346647,-0.478018&spn=0.009945,0.019248&z=16","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"TGW (GLWMTX)","Glasgow","MTX",,"SCOTLAND","Normal","Unit 5, 9 South Avenue
Clydebank Business Park 
Clydebank
Dumbartonshire, G81 2NR","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Glasgow_Floorplan.pdf?csf=1&web=1&e=VDm0tr","http://maps.google.co.uk/maps?q=55.905055,-4.413444&num=1&t=h&sll=55.90575,-4.413591&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=55.905351,-4.411129&spn=0.008925,0.019248&z=16","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XKS (KCSMTX)","Kings Cross","MTX",,"LONDON","Normal","233-241 Grays Inn Road
Kings Cross
London
WC1X 8RB","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/KingsCross_Floorplans?csf=1&e=dgaVes","http://maps.google.co.uk/maps?q=51.527956,-0.1192&num=1&t=h&sll=51.52818,-0.119332&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.528577,-0.121922&spn=0.004953,0.009624&z=17","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XLR (LCTMTX)","Leicester","MTX",,"MIDLANDS","Normal","Centurion Way
Meridian Business Park 
Leicester
LE19 1WH","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Leicester_Floorplans?csf=1&web=1&e=tgBHpw","http://maps.google.co.uk/maps?q=52.607472,-1.191823&num=1&t=h&sll=52.608802,-1.194721&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=52.607398,-1.191917&spn=0.004834,0.009624&z=17","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XNY (NBYMTX)","Newbury","MTX",,"THAMES VALLEY","Normal","Canal House Hambridge Road Newbury  Berkshire, RG14 5XF","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Newbury_Floorplans?csf=1&web=1&e=zcHvIU","http://maps.google.co.uk/maps?q=51.400812,-1.299412&num=1&t=h&sll=51.400401,-1.298728&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.400401,-1.298728&spn=0.019866,0.038495&z=15","Data migrated to GIS
","False","Leasehold","N+N (Resilient)"
"XNE (NWCMTX)","Newcastle","MTX",,"NORTH EAST","Normal","19 Tower Road
Glover
Washington 
Tyne and Wear, NE37 2SH","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Newcastle_Floorplans?csf=1&web=1&e=UHBAGC","http://maps.google.co.uk/maps?q=54.909753,-1.511114&num=1&t=h&sll=54.908657,-1.511366&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=54.908655,-1.515427&spn=0.009153,0.019248&z=16","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XOD (OXFMTX)","Oxford","MTX","[""Amitie""]","THAMES VALLEY","Normal","Alex Issigonis Way
Oxford Business Park (North) 
Cowley
OX4 2JZ","True","/:f:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Oxford_Floorplans?csf=1&web=1&e=S9O6P8","http://maps.google.co.uk/maps?q=51.733979,-1.206393&num=1&t=h&sll=51.734351,-1.207542&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=51.733918,-1.206525&spn=0.00493,0.009624&z=17","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XRM (RHMMTX)","Rotherham","MTX",,"NORTH EAST","Normal","Unit 2 Shepcote Business Park
Europa Drive 
Tinsley Park
Sheffield, S9 1XT","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Rotherham_Floorplan.pdf?csf=1&web=1&e=aKQsN0","http://maps.google.co.uk/maps?q=53.40114,-1.405778&num=1&t=h&sll=53.396568,-1.407906&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=53.399528,-1.409447&spn=0.009493,0.019248&z=16","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XSN (SHTMTX)","Southampton","MTX","[""Amitie""]","SOUTH","Normal","Unit 1 Chandlers Park
School Lane 
Chandlers Ford Industrial Estate 
Southampton, SO53 4DG","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Southampton_Floorplan.pdf?csf=1&web=1&e=Q7cMi5","http://maps.google.co.uk/maps?q=50.982033,-1.389787&num=1&t=h&sll=50.981373,-1.388919&sspn=0.010024,0.019248&hl=en&ie=UTF8&ll=50.981506,-1.386595&spn=0.020048,0.038495&z=15","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"XSD (STDMTX)","Stafford","MTX",,"NORTH WEST","Normal","Tollgate Drive
Tollgate Ind. Estate 
Beaconside
ST16 3HS","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Stafford_Floorplan.pdf?csf=1&web=1&e=XUWTw6","http://maps.google.co.uk/maps?q=52.827328,-2.107133&num=1&t=h&sll=52.827436,-2.10827&sspn=0.006295,0.006295&hl=en&ie=UTF8&ll=52.828673,-2.112465&spn=0.00962,0.019248&z=16","Data migrated to GIS","False","Freehold","N+N (Resilient)"
"XSY (SNYMTX)","Swanley","MTX",,"SOUTH EAST","Normal","Unit 9
Capstan Court
Crossways 
Dartford, DA2 6QG","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Swanley_Floorplan.pdf?csf=1&web=1&e=JnXmui","http://maps.google.co.uk/maps?q=51.452466,0.247568&num=1&t=h&sll=51.452537,0.248199&sspn=0.009922,0.019248&hl=en&ie=UTF8&ll=51.453151,0.244532&spn=0.009922,0.019248&z=16","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"TWN (WTNMTX)","Warrington","MTX",,"NORTH WEST","Normal","Unit 25
Grosvenor Grange Industrial Estate
Pipe Lane
Warrington, WA1 4SF","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/MTX/Warrington_Floorplan.pdf?csf=1&web=1&e=1nMZ5d","http://maps.google.co.uk/maps?q=53.40592,-2.547626&num=1&t=h&sll=53.405829,-2.54586&sspn=0.009492,0.019248&hl=en&ie=UTF8&ll=53.405733,-2.54712&spn=0.009492,0.019248&z=16","Data migrated to GIS","False","Leasehold","N+N (Resilient)"
"FMYN31","Albany Park","Redstream",,"THAMES VALLEY","Normal","ALBANY PARK
CAMBERLEY
SURREY
GU16 7PL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/FMYN31.pdf?CT=1606995283562&OR=ItemsView","https://www.google.com/maps/place/51°19%2701.1%22N+0°45%2710.9%22W/@51.3169637,-0.754117,309m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.3169722!4d-0.7530278","Data migrated to GIS","False","Leasehold","N only"
"CHMN21","Arle Road","Redstream",,"SOUTH WEST","Normal","UNIT 18, CHELTENHAM TRADE PARK,
ARLE ROAD
CHELTENHAM
GLOUCESTERSHIRE
GL51 8LZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CHMN21.pdf?CT=1607094943140&OR=ItemsView","https://www.google.com/maps/place/51°54%2722.9%22N+2°05%2742.1%22W/@51.9062353,-2.0954199,304m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.9063611!4d-2.0950278","Data migrated to GIS","False","Leasehold","N only"
"PRDTB1","Asco Road EAM","Redstream",,"SCOTLAND","Normal","ASCO ROAD
PETERHEAD
ABERDEENSHIRE
AB42 3AA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PRDTB1.pdf","https://www.google.com/maps/place/57°28%2740.8%22N+1°47%2756.1%22W/@57.4779626,-1.8007513,550m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.478!4d-1.7989278","Data migrated to GIS","False","Leasehold","N only"
"AZTCD1 & AZTCD2","Aztec West","Redstream","[""RA""]","SOUTH WEST","Normal","AZTEC WEST
BRISTOL
AVON
BS32 4RY","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/AZTCD1%20%26%20AZTCD2.pdf","https://www.google.com/maps/place/51°32%2735.9%22N+2°34%2738.8%22W/@51.5429179,-2.5784459,696m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5433!4d-2.5774444","Data migrated to GIS","False","Leasehold","N only"
"DFSNC1","Bankend Road","Redstream",,"SCOTLAND","Normal","BANKEND ROAD
DUMFRIES

DG1 4ZE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DFSNC1.pdf?CT=1607348236931&OR=ItemsView","https://www.google.com/maps/place/55°02%2753.1%22N+3°35%2731.6%22W/@55.048069,-3.593084,262m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.0480806!4d-3.5921056","Data Migrated to GIS","False","Leasehold","N only"
"GCRTB1","Barnett Way","Redstream","[""RA""]","SOUTH WEST","Normal","BARNETT WAY
GLOUCESTER
GLOUCESTERSHIRE
GL4 3RW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GCRTB1.pdf?CT=1607347464704&OR=ItemsView","https://www.google.com/maps/place/51%C2%B051'45.1%22N+2%C2%B012'23.5%22W/@51.8624668,-2.2067179,124m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.8625167!4d-2.2065278","Data migrated to GIS","False","Leasehold","N only"
"DVSTB1","Bath Road","Redstream",,"SOUTH WEST","Normal","BATH ROAD
DEVIZES
WILTSHIRE
SN10 1XA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DVSTB1.pdf","https://www.google.com/maps/place/51%C2%B021'04.5%22N+2%C2%B000'53.9%22W/@51.3511996,-2.015749,248m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.3512528!4d-2.0149694","Data migrated to GIS","False","Leasehold","N only"
"HTE","Beckwithshaw","Redstream",,"NORTH EAST","Normal","BRISCOE RIDGE LANE, BECKWITHSHAW
HARROGATE
NORTH YORKSHIRE
HG3 1QY","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/HTE.pdf?CT=1607345621755&OR=ItemsView","https://www.google.com/maps/place/53°57%2713.9%22N+1°36%2728.7%22W/@53.9538588,-1.6084963,185m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.9538694!4d-1.6079611","Data migrated to GIS","False","Leasehold","N only"
"SHTN03","Belgrave Road","Redstream","[""RA""]","SOUTH","Normal","BELGRAVE ROAD
SOUTHAMPTON
HAMPSHIRE
SO17 3AN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SHTN03.pdf?CT=1613731448953&OR=ItemsView","https://www.google.com/maps/place/50°55%2752.6%22N+1°22%2759.8%22W/@50.9312497,-1.3836014,160m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.9312889!4d-1.3832889","Data migrated to GIS","False","Leasehold","N only"
"LMSCN2","Black Lane","Redstream",,"MIDLANDS","Normal","BLACK LANE
LEAMINGTON SPA
WARWICKSHIRE
CV32 4UA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LMSCN2.pdf?CT=1607342909580&OR=ItemsView","https://www.google.com/maps/place/52%C2%B017'39.5%22N+1%C2%B031'08.3%22W/@52.2942235,-1.5193486,177m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.2943028!4d-1.5189639","Data migrated to GIS","False","Leasehold","N only"
"SHD","Blast Lane","Redstream",,"NORTH EAST","Normal","BLAST LANE
SHEFFIELD
SOUTH YORKSHIRE
S4 7TA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SHD.pdf?CT=1607092594674&OR=ItemsView","https://www.google.com/maps/place/53°23%2710.8%22N+1°27%2720.5%22W/@53.386353,-1.456307,216m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.3863417!4d-1.4556972","Data migrated to GIS","False","Leasehold","N only"
"BFDTB1","Bowling Back Lane","Redstream",,"NORTH EAST","Normal","BOWLING BACK LANE
BRADFORD
YORKSHIRE
BD4 8SL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BFDTB1.pdf?CT=1607350023132&OR=ItemsView","https://www.google.com/maps/place/53%C2%B047'11.4%22N+1%C2%B044'17.1%22W/@53.7866406,-1.7387861,369m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7865111!4d-1.738075","Data migrated to GIS","False","Leasehold","N only"
"NULTB1","Brampton Industrial Estate","Redstream","[""RA""]","NORTH WEST","Normal","CROFT ROAD
NEWCASTLE-UNDER-LYME
STAFFORDSHIRE
ST5 0SR","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NULTB1.pdf?CT=1607349459059&OR=ItemsView","https://www.google.com/maps/place/53%C2%B000'59.5%22N+2%C2%B013'38.5%22W/@53.0165324,-2.2278051,191m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.0165306!4d-2.2273528","Data migrated to GIS","False","Leasehold","N only"
"IGNN01","Brewery Road","Redstream","[""RA""]","LONDON","Normal","BREWERY ROAD
LONDON
LONDON
N7 9NT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/IGNN01.pdf?CT=1607348629997&OR=ItemsView","https://www.google.com/maps/place/51°32%2741.3%22N+0°07%2726.2%22W/@51.5448172,-0.1243613,153m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5448056!4d-0.1239444","Data migrated to GIS","False","Leasehold","N only"
"ABNTB1","Bridge of Don","Redstream",,"SCOTLAND","Normal","WOODSIDE ROAD
ABERDEEN
ABERDEENSHIRE
AB23 8EF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ABNTB1.pdf?CT=1607348220506&OR=ItemsView","https://www.google.com/maps/place/57°11%2719.6%22N+2°05%2729.9%22W/@57.1886981,-2.0924219,272m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.1887778!4d-2.0916472","Data migrated to GIS","False","Leasehold","N only"
"WHD","Brooklands Drive","Redstream",,"NORTHERN IRELAND","Normal","BROOKLANDS DRIVE
CARRICKFERGUS
COUNTY ANTRIM
BT38 9SL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WHD.pdf?CT=1607347649682&OR=ItemsView","https://www.google.com/maps/place/54°45%2719.4%22N+5°43%2703.4%22W/@54.7554057,-5.7178266,144m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.7553944!4d-5.7176","Data migrated to GIS","False","Freehold","N only"
"SHDTR1","Brookshaw Park","Redstream","[""RA""]","NORTH EAST","Normal","RUSSELL STREET
SHEFFIELD
SOUTH YORKSHIRE
S3 8RW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SHDTR1.pdf?CT=1607347098178&OR=ItemsView","https://www.google.com/maps/place/53°23%2716.1%22N+1°28%2723.1%22W/@53.3878265,-1.4737687,297m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.3878028!4d-1.4730833","Data migrated to GIS","False","Leasehold","N only"
"ACTN01","Brunel Road","Redstream","[""RA"",""OpX""]","LONDON","Restricted","BRUNEL ROAD
LONDON
MIDDLESEX
W3 7XR","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ACTN01.pdf?CT=1607346353495&OR=ItemsView","https://www.google.com/maps/place/51°31%2712.5%22N+0°15%2706.3%22W/@51.5201821,-0.2521944,248m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5201333!4d-0.2517583","Data migrated to GIS","True","Leasehold","N+N (Full A&B)"
"BDEN04 - 10","Bude Creathorne Farm","Redstream","[""Amitie""]","South West","Normal","CREATHORNE FARM,
BUDE,
CORNWALL EX23 0NE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BDEN04%20-10.pdf","https://www.google.com/maps/place/50°47%2752.1%22N+4°32%2722.4%22W/@50.7978164,-4.5417517,738m","Data migrated to GIS","False","Freehold","Mixed (Both N & N+N)"
"BDEN02 & BDEN03","Bude Kings Hill","Redstream",,"SOUTH WEST","Normal","KINGS HILL INDUSTRIAL ESTATE
BUDE
CORNWALL
EX23 8QN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BDEN02%20%26%20BDEN03.pdf?CT=1607345359806&OR=ItemsView","https://www.google.com/maps/place/50°49%2714.9%22N+4°31%2756.8%22W/@50.8207661,-4.5329079,248m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.8208083!4d-4.5324333","Data migrated to GIS","False","Leasehold","N only"
"POLN02","Cabot Lane","Redstream","[""RA"",""Amitie""]","SOUTH","Normal","CABOT LANE
POOLE
DORSET
BH17 ZHX","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/POLN02.pdf?CT=1607342503996&OR=ItemsView","https://www.google.com/maps/place/50°44%2737.9%22N+1°59%2712.3%22W/@50.7436997,-1.9875483,294m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.74385!4d-1.9867444","Data migrated to GIS","False","Freehold","N+N (Full A&B)"
